env_1,env_2,emotion,mean_1,mean_2,diff,t_stat,p_value,cohens_d,n_1,n_2
banter,baseline,anger,5.402,6.336,-0.934,-1.837,0.0666,-0.079,2637,533
banter,baseline,anticipation,22.239,21.885,0.354,0.325,0.7451,0.012,2637,533
banter,baseline,disgust,4.368,4.414,-0.045,-0.097,0.9226,-0.003,2637,533
banter,baseline,fear,8.273,9.659,-1.386,-2.065,0.0392,-0.081,2637,533
banter,baseline,joy,17.385,18.662,-1.277,-1.204,0.2287,-0.045,2637,533
banter,baseline,sadness,7.896,9.008,-1.111,-1.772,0.0768,-0.071,2637,533
banter,baseline,surprise,9.286,9.498,-0.211,-0.285,0.7757,-0.01,2637,533
banter,baseline,trust,26.834,27.073,-0.24,-0.204,0.8387,-0.008,2637,533
banter,four_guys,anger,5.402,11.26,-5.857,-10.99,0.0,-0.182,2637,6187
banter,four_guys,anticipation,22.239,30.847,-8.608,-8.761,0.0,-0.157,2637,6187
banter,four_guys,disgust,4.368,7.777,-3.409,-7.335,0.0,-0.13,2637,6187
banter,four_guys,fear,8.273,13.759,-5.486,-8.769,0.0,-0.154,2637,6187
banter,four_guys,joy,17.385,29.507,-12.122,-12.382,0.0,-0.223,2637,6187
banter,four_guys,sadness,7.896,12.681,-4.784,-8.156,0.0,-0.142,2637,6187
banter,four_guys,surprise,9.286,14.918,-5.632,-8.256,0.0,-0.15,2637,6187
banter,four_guys,trust,26.834,38.667,-11.833,-10.808,0.0,-0.193,2637,6187
baseline,four_guys,anger,6.336,11.26,-4.923,-7.486,0.0,-0.136,533,6187
baseline,four_guys,anticipation,21.885,30.847,-8.962,-7.379,0.0,-0.149,533,6187
baseline,four_guys,disgust,4.414,7.777,-3.363,-6.227,0.0,-0.117,533,6187
baseline,four_guys,fear,9.659,13.759,-4.1,-5.285,0.0,-0.104,533,6187
baseline,four_guys,joy,18.662,29.507,-10.845,-9.142,0.0,-0.182,533,6187
baseline,four_guys,sadness,9.008,12.681,-3.673,-5.014,0.0,-0.098,533,6187
baseline,four_guys,surprise,9.498,14.918,-5.42,-6.618,0.0,-0.132,533,6187
baseline,four_guys,trust,27.073,38.667,-11.593,-8.698,0.0,-0.171,533,6187
